dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
22/07/2020,22,7,2020,297,6,Sweden,SE,SWE,10327589,Europe
21/08/2020,21,8,2020,298,5,Sweden,SE,SWE,10327589,Europe
2/5/2020,2,5,2020,299,72,Sweden,SE,SWE,10327589,Europe
26/04/2020,26,4,2020,300,74,Sweden,SE,SWE,10327589,Europe
28/03/2020,28,3,2020,300,35,Sweden,SE,SWE,10327589,Europe
31/10/2021,31,10,2021,301,4,Sweden,SE,SWE,10327589,Europe
29/07/2020,29,7,2020,301,1,Sweden,SE,SWE,10327589,Europe
30/07/2020,30,7,2020,302,0,Sweden,SE,SWE,10327589,Europe
1/8/2020,1,8,2020,303,2,Sweden,SE,SWE,10327589,Europe
11/7/2020,11,7,2020,308,10,Sweden,SE,SWE,10327589,Europe
14/11/2021,14,11,2021,311,3,Sweden,SE,SWE,10327589,Europe
14/07/2020,14,7,2020,312,8,Sweden,SE,SWE,10327589,Europe
9/9/2020,9,9,2020,314,2,Sweden,SE,SWE,10327589,Europe
18/08/2020,18,8,2020,314,4,Sweden,SE,SWE,10327589,Europe
25/03/2020,25,3,2020,314,22,Sweden,SE,SWE,10327589,Europe
5/7/2020,5,7,2020,315,9,Sweden,SE,SWE,10327589,Europe
24/10/2021,24,10,2021,319,1,Sweden,SE,SWE,10327589,Europe
18/10/2020,18,10,2020,321,1,Sweden,SE,SWE,10327589,Europe
21/06/2020,21,6,2020,321,22,Sweden,SE,SWE,10327589,Europe
26/09/2020,26,9,2020,325,2,Sweden,SE,SWE,10327589,Europe
2/7/2021,2,7,2021,326,1,Sweden,SE,SWE,10327589,Europe
16/09/2020,16,9,2020,330,2,Sweden,SE,SWE,10327589,Europe
20/08/2020,20,8,2020,333,2,Sweden,SE,SWE,10327589,Europe
4/8/2020,4,8,2020,333,2,Sweden,SE,SWE,10327589,Europe
9/7/2020,9,7,2020,334,15,Sweden,SE,SWE,10327589,Europe
16/07/2021,16,7,2021,337,0,Sweden,SE,SWE,10327589,Europe
5/4/2020,5,4,2020,340,85,Sweden,SE,SWE,10327589,Europe
14/08/2020,14,8,2020,344,1,Sweden,SE,SWE,10327589,Europe
14/07/2021,14,7,2021,350,0,Sweden,SE,SWE,10327589,Europe
19/08/2020,19,8,2020,351,1,Sweden,SE,SWE,10327589,Europe
4/4/2020,4,4,2020,357,70,Sweden,SE,SWE,10327589,Europe
16/05/2020,16,5,2020,358,48,Sweden,SE,SWE,10327589,Europe
13/08/2020,13,8,2020,363,5,Sweden,SE,SWE,10327589,Europe
4/7/2020,4,7,2020,364,15,Sweden,SE,SWE,10327589,Europe
27/03/2020,27,3,2020,365,32,Sweden,SE,SWE,10327589,Europe
15/07/2021,15,7,2021,366,1,Sweden,SE,SWE,10327589,Europe
6/7/2021,6,7,2021,369,2,Sweden,SE,SWE,10327589,Europe
10/7/2020,10,7,2020,369,14,Sweden,SE,SWE,10327589,Europe
13/07/2021,13,7,2021,370,0,Sweden,SE,SWE,10327589,Europe
24/06/2021,24,6,2021,373,2,Sweden,SE,SWE,10327589,Europe
5/10/2020,5,10,2020,374,2,Sweden,SE,SWE,10327589,Europe
28/09/2020,28,9,2020,378,1,Sweden,SE,SWE,10327589,Europe
6/8/2020,6,8,2020,378,4,Sweden,SE,SWE,10327589,Europe
23/06/2021,23,6,2021,379,0,Sweden,SE,SWE,10327589,Europe
7/8/2020,7,8,2020,380,2,Sweden,SE,SWE,10327589,Europe
19/04/2020,19,4,2020,388,87,Sweden,SE,SWE,10327589,Europe
17/09/2020,17,9,2020,389,1,Sweden,SE,SWE,10327589,Europe
6/4/2020,6,4,2020,389,90,Sweden,SE,SWE,10327589,Europe
11/4/2020,11,4,2020,395,102,Sweden,SE,SWE,10327589,Europe
23/05/2020,23,5,2020,403,55,Sweden,SE,SWE,10327589,Europe
5/7/2021,5,7,2021,415,0,Sweden,SE,SWE,10327589,Europe
28/06/2020,28,6,2020,415,23,Sweden,SE,SWE,10327589,Europe
30/03/2020,30,3,2020,416,45,Sweden,SE,SWE,10327589,Europe
11/8/2020,11,8,2020,417,4,Sweden,SE,SWE,10327589,Europe
14/06/2020,14,6,2020,418,27,Sweden,SE,SWE,10327589,Europe
5/8/2020,5,8,2020,425,1,Sweden,SE,SWE,10327589,Europe
18/05/2020,18,5,2020,430,59,Sweden,SE,SWE,10327589,Europe
30/05/2020,30,5,2020,432,38,Sweden,SE,SWE,10327589,Europe
18/09/2020,18,9,2020,437,1,Sweden,SE,SWE,10327589,Europe
13/04/2020,13,4,2020,437,84,Sweden,SE,SWE,10327589,Europe
22/09/2020,22,9,2020,438,1,Sweden,SE,SWE,10327589,Europe
12/7/2021,12,7,2021,443,0,Sweden,SE,SWE,10327589,Europe
12/8/2020,12,8,2020,443,3,Sweden,SE,SWE,10327589,Europe
23/07/2021,23,7,2021,444,1,Sweden,SE,SWE,10327589,Europe
28/06/2021,28,6,2021,444,2,Sweden,SE,SWE,10327589,Europe
10/4/2020,10,4,2020,454,90,Sweden,SE,SWE,10327589,Europe
11/5/2020,11,5,2020,455,65,Sweden,SE,SWE,10327589,Europe
3/10/2020,3,10,2020,461,3,Sweden,SE,SWE,10327589,Europe
20/04/2020,20,4,2020,461,85,Sweden,SE,SWE,10327589,Europe
7/6/2020,7,6,2020,462,33,Sweden,SE,SWE,10327589,Europe
12/4/2020,12,4,2020,464,97,Sweden,SE,SWE,10327589,Europe
25/04/2020,25,4,2020,473,73,Sweden,SE,SWE,10327589,Europe
31/03/2020,31,3,2020,474,48,Sweden,SE,SWE,10327589,Europe
22/07/2021,22,7,2021,477,1,Sweden,SE,SWE,10327589,Europe
4/5/2020,4,5,2020,477,83,Sweden,SE,SWE,10327589,Europe
14/04/2020,14,4,2020,479,91,Sweden,SE,SWE,10327589,Europe
21/11/2021,21,11,2021,482,3,Sweden,SE,SWE,10327589,Europe
11/6/2021,11,6,2021,484,1,Sweden,SE,SWE,10327589,Europe
1/4/2020,1,4,2020,486,53,Sweden,SE,SWE,10327589,Europe
7/6/2021,7,6,2021,490,5,Sweden,SE,SWE,10327589,Europe
25/05/2020,25,5,2020,490,42,Sweden,SE,SWE,10327589,Europe
8/11/2021,8,11,2021,502,2,Sweden,SE,SWE,10327589,Europe
22/06/2021,22,6,2021,506,3,Sweden,SE,SWE,10327589,Europe
10/10/2020,10,10,2020,509,5,Sweden,SE,SWE,10327589,Europe
9/5/2020,9,5,2020,509,68,Sweden,SE,SWE,10327589,Europe
25/10/2020,25,10,2020,514,8,Sweden,SE,SWE,10327589,Europe
20/07/2021,20,7,2021,517,0,Sweden,SE,SWE,10327589,Europe
12/6/2021,12,6,2021,524,2,Sweden,SE,SWE,10327589,Europe
23/10/2021,23,10,2021,525,3,Sweden,SE,SWE,10327589,Europe
22/05/2020,22,5,2020,532,56,Sweden,SE,SWE,10327589,Europe
1/5/2020,1,5,2020,532,78,Sweden,SE,SWE,10327589,Europe
18/04/2020,18,4,2020,532,86,Sweden,SE,SWE,10327589,Europe
8/7/2020,8,7,2020,533,10,Sweden,SE,SWE,10327589,Europe
25/10/2021,25,10,2021,540,6,Sweden,SE,SWE,10327589,Europe
24/09/2020,24,9,2020,540,1,Sweden,SE,SWE,10327589,Europe
23/09/2020,23,9,2020,553,0,Sweden,SE,SWE,10327589,Europe
2/4/2020,2,4,2020,554,70,Sweden,SE,SWE,10327589,Europe
30/06/2021,30,6,2021,560,1,Sweden,SE,SWE,10327589,Europe
27/04/2020,27,4,2020,563,74,Sweden,SE,SWE,10327589,Europe
15/10/2021,15,10,2021,565,1,Sweden,SE,SWE,10327589,Europe
15/11/2021,15,11,2021,574,6,Sweden,SE,SWE,10327589,Europe
21/07/2021,21,7,2021,582,1,Sweden,SE,SWE,10327589,Europe
6/11/2021,6,11,2021,597,7,Sweden,SE,SWE,10327589,Europe
8/10/2021,8,10,2021,599,8,Sweden,SE,SWE,10327589,Europe
