dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,,
12/11/2020,12,11,2020,37977,636,Italy,IT,ITA,59641488,Europe,,
12/12/2020,12,12,2020,19902,649,Italy,IT,ITA,59641488,Europe,,
1/1/2021,1,1,2021,22210,462,Italy,IT,ITA,59641488,Europe,,
1/2/2021,1,2,2021,7925,329,Italy,IT,ITA,59641488,Europe,,
1/3/2021,1,3,2021,13106,246,Italy,IT,ITA,59641488,Europe,,
1/4/2021,1,4,2021,23639,501,Italy,IT,ITA,59641488,Europe,,
1/5/2021,1,5,2021,12964,226,Italy,IT,ITA,59641488,Europe,,
1/6/2021,1,6,2021,2483,93,Italy,IT,ITA,59641488,Europe,,
1/7/2021,1,7,2021,879,21,Italy,IT,ITA,59641488,Europe,,
1/8/2021,1,8,2021,5320,2,Italy,IT,ITA,59641488,Europe,,
1/9/2021,1,9,2021,6496,69,Italy,IT,ITA,59641488,Europe,,
1/10/2021,1,10,2021,3403,52,Italy,IT,ITA,59641488,Europe,,
1/11/2021,1,11,2021,2818,20,Italy,IT,ITA,59641488,Europe,,
1/12/2021,1,12,2021,15073,103,Italy,IT,ITA,59641488,Europe,,
2/1/2021,2,1,2021,11825,364,Italy,IT,ITA,59641488,Europe,,
2/2/2021,2,2,2021,9651,498,Italy,IT,ITA,59641488,Europe,,
2/3/2021,2,3,2021,17063,343,Italy,IT,ITA,59641488,Europe,,
2/4/2021,2,4,2021,21917,481,Italy,IT,ITA,59641488,Europe,,
2/5/2021,2,5,2021,9145,144,Italy,IT,ITA,59641488,Europe,,
2/6/2021,2,6,2021,2896,62,Italy,IT,ITA,59641488,Europe,,
2/7/2021,2,7,2021,794,28,Italy,IT,ITA,59641488,Europe,,
2/8/2021,2,8,2021,3185,23,Italy,IT,ITA,59641488,Europe,,
2/9/2021,2,9,2021,6754,62,Italy,IT,ITA,59641488,Europe,,
2/10/2021,2,10,2021,3309,25,Italy,IT,ITA,59641488,Europe,,
2/11/2021,2,11,2021,2831,41,Italy,IT,ITA,59641488,Europe,,
2/12/2021,2,12,2021,16810,72,Italy,IT,ITA,59641488,Europe,,
3/1/2021,3,1,2021,14245,347,Italy,IT,ITA,59641488,Europe,,
3/2/2021,3,2,2021,13182,476,Italy,IT,ITA,59641488,Europe,,
3/3/2021,3,3,2021,20840,347,Italy,IT,ITA,59641488,Europe,,
3/4/2021,3,4,2021,21247,376,Italy,IT,ITA,59641488,Europe,,
3/5/2021,3,5,2021,5946,256,Italy,IT,ITA,59641488,Europe,,
3/6/2021,3,6,2021,1963,59,Italy,IT,ITA,59641488,Europe,,
3/7/2021,3,7,2021,929,22,Italy,IT,ITA,59641488,Europe,,
3/8/2021,3,8,2021,4841,27,Italy,IT,ITA,59641488,Europe,,
3/9/2021,3,9,2021,6729,58,Italy,IT,ITA,59641488,Europe,,
3/10/2021,3,10,2021,2967,33,Italy,IT,ITA,59641488,Europe,,
3/11/2021,3,11,2021,5188,63,Italy,IT,ITA,59641488,Europe,,
3/12/2021,3,12,2021,17015,74,Italy,IT,ITA,59641488,Europe,,
4/1/2021,4,1,2021,10798,348,Italy,IT,ITA,59641488,Europe,,
4/2/2021,4,2,2021,13656,422,Italy,IT,ITA,59641488,Europe,,
4/3/2021,4,3,2021,22845,339,Italy,IT,ITA,59641488,Europe,,
4/4/2021,4,4,2021,18017,326,Italy,IT,ITA,59641488,Europe,,
4/5/2021,4,5,2021,9113,305,Italy,IT,ITA,59641488,Europe,,
